CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"16,972","7,850","2,17,055",12.81,3.40,-1.60,"3,825",3.30,3.50,300,"25,850.00",75,834.00,841.50,300,117.10,812.50,-,68,-2,26,
,"73,770","47,759","4,32,085",13.19,3.00,-1.15,"2,625",3.00,3.25,"1,050","25,900.00",75,883.50,891.35,375,145.70,888.20,-,136,25,329,
,"18,357","2,890","2,17,390",13.40,2.45,-1.30,600,2.45,2.65,300,"25,950.00",300,932.85,940.25,75,163.95,951.00,17.25,56,15,25,
,"1,18,121","26,259","6,19,862",13.87,2.30,-0.90,"1,425",2.30,2.40,600,"26,000.00",300,983.10,988.50,75,142.00,986.00,-,721,70,"2,272",
,"14,713","5,775","1,20,281",14.23,2.05,-0.65,"1,500",1.95,2.15,"3,300","26,050.00",150,997.20,"1,084.85",750,-,783.30,-,-,-,22,
,"52,033","19,499","3,59,519",14.61,1.85,-0.55,75,1.80,2.00,"18,300","26,100.00",75,"1,080.40","1,091.95",75,150.50,"1,090.30",12.71,33,13,179,
,"12,992","5,211","95,465",14.90,1.60,-0.50,"5,025",1.60,1.75,"3,600","26,150.00",75,"1,131.55","1,182.00",300,124.65,"1,109.70",-,4,1,12,
,"64,124","31,375","2,55,525",15.51,1.65,-0.25,"1,350",1.65,1.70,"12,300","26,200.00",75,"1,174.25","1,194.65",75,163.70,"1,200.00",20.54,7,-1,45,
,"11,548","5,883","61,914",15.87,1.50,-0.20,"23,925",1.50,1.60,"3,600","26,250.00",150,"1,178.00","1,256.85",300,0.25,999.35,-,-,-,9,
,"37,496","14,680","2,37,178",16.28,1.40,-0.10,"9,525",1.35,1.50,"1,800","26,300.00",75,"1,258.75","1,294.85",75,190.25,"1,325.05",28.43,5,-1,92,
,"9,260","1,943","53,645",16.67,1.30,-,150,1.30,1.40,"4,725","26,350.00",150,"1,277.40","1,384.80",450,-,"1,168.20",-,-,-,11,
,"33,948","15,588","2,26,397",17.12,1.25,-0.05,"3,900",1.25,1.35,75,"26,400.00",75,"1,369.05","1,393.90",300,192.50,"1,424.00",29.84,1,1,25,
,"18,527","9,663","86,606",17.56,1.20,0.05,"19,575",1.20,1.25,900,"26,450.00",150,"1,376.85","1,458.10",300,-,"1,174.60",-,-,-,1,
,"1,07,668","61,315","4,46,168",18.08,1.20,0.05,"55,800",1.20,1.25,"3,600","26,500.00",75,"1,479.65","1,490.15",225,175.50,"1,510.00",28.05,17,11,263,
,"22,043","6,709","87,086",18.42,1.10,0.10,"1,500",1.05,1.15,"5,400","26,550.00",450,"1,476.20","1,584.80",450,-,"1,390.00",-,-,-,6,
,"35,752","7,029","1,68,035",19.12,1.20,0.20,"3,600",1.15,1.20,"1,350","26,600.00",75,"1,530.60","1,634.15",450,145.20,"1,492.20",-,2,-,13,
,"11,970","5,051","54,112",19.24,1.00,0.10,"3,600",1.00,1.15,"3,600","26,650.00",450,"1,576.85","1,668.70",75,245.30,"1,643.70",23.49,6,-,10,
,"27,174","9,814","1,02,557",19.95,1.10,0.20,"3,600",1.10,1.15,"1,050","26,700.00",150,"1,631.70","1,734.40",75,44.00,"1,575.20",-,1,-,26,
,"1,356",784,"9,483",20.24,1.00,0.10,225,0.90,1.20,600,"26,750.00",450,"1,675.20","1,785.90",450,-0.35,"1,488.60",-,-,-,7,
,"19,643","17,371","59,215",20.85,1.05,0.15,"9,525",1.00,1.05,"19,875","26,800.00",450,"1,726.55","1,835.95",450,-0.50,"1,538.40",-,-,-,7,
,"3,057","2,596","11,997",21.00,0.90,-,"36,525",0.90,1.00,"3,675","26,850.00",450,"1,774.30","1,884.20",450,-0.80,"1,591.85",-,-,-,5,
,"9,935","8,467","51,443",21.36,0.85,-0.05,"3,600",0.85,0.90,"6,750","26,900.00",450,"1,824.15","1,934.45",450,-0.50,"1,637.20",-,-,-,4,
,"1,387","1,025","6,789",21.98,0.90,0.05,"3,900",0.85,0.95,"1,650","26,950.00",450,"1,875.80","1,987.40",450,-0.50,"1,687.05",-,-,-,4,
,"45,859","21,181","1,35,037",22.46,0.90,0.05,"5,850",0.85,0.90,"10,200","27,000.00",75,"1,977.20","1,992.15",75,132.60,"1,975.95",-,15,5,879,
,"1,520","1,248","8,883",22.81,0.85,-,"3,300",0.85,1.00,"1,800","27,050.00",450,"1,973.30","2,087.45",450,-0.30,"1,787.65",-,-,-,5,
,"1,517","1,032","8,692",23.15,0.80,-0.05,"3,975",0.80,1.15,150,"27,100.00",450,"2,025.15","2,136.05",450,-0.15,"1,837.75",-,-,-,4,
,"1,268",870,"8,019",23.77,0.85,-0.10,"9,450",0.80,1.00,"1,800","27,150.00",450,"2,077.40","2,188.10",450,-0.50,"1,886.45",-,-,-,4,
,"1,929",894,"13,954",24.09,0.80,-,525,0.80,0.90,"56,175","27,200.00",450,"2,127.55","2,236.45",450,-0.50,"1,936.30",-,-,-,4,
,"2,012","1,722","14,374",24.71,0.85,-,"1,875",0.85,0.95,"6,000","27,250.00",450,"2,170.05","2,281.95",450,0.05,"1,986.90",-,-,-,3,
,"5,610","3,554","21,132",24.87,0.75,-0.05,"95,550",0.75,0.85,"10,125","27,300.00",450,"2,225.55","2,337.55",450,0.05,"2,036.75",-,-,-,3,
,"3,853","3,159","39,517",25.50,0.80,-,"1,46,850",0.75,0.80,"7,125","27,350.00",450,"2,276.55","2,385.60",450,-0.50,"2,083.50",-,-,-,4,
,"42,537","14,619","1,47,818",25.97,0.80,-0.05,"37,200",0.80,0.85,"6,975","27,400.00",450,"2,322.35","2,436.20",450,-,"2,253.85",-,-,-,84,
